"Group","Variable","Unit","n","Mean","Median","Min","Max","CI_low","CI_high"
"12","Presence Kōaro","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"13","Presence Kōaro","",6,0.5,0.5,0,1,-0.0747995726208989,1.0747995726209
"14","Presence Kōaro","",6,0.5,0.5,0,1,-0.0747995726208989,1.0747995726209
"15","Presence Kōaro","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"16","Presence Kōaro","",7,0.428571428571429,0,0,1,-0.0657794179743815,0.922922275117239
"17","Presence Kōaro","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"18","Presence Kōaro","",7,0.285714285714286,0,0,1,-0.165564230910573,0.736992802339144
"19","Presence Kōaro","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"20","Presence Kōaro","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"All sites","Presence Trout","",136,0.0514705882352941,0,0,1,0.0138611540106386,0.0890800224599496
"1","Presence Trout","",6,0,0,0,0,0,0
"2","Presence Trout","",6,0,0,0,0,0,0
"3","Presence Trout","",7,0,0,0,0,0,0
"4","Presence Trout","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"5","Presence Trout","",7,0,0,0,0,0,0
"6","Presence Trout","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"7","Presence Trout","",7,0,0,0,0,0,0
"8","Presence Trout","",7,0,0,0,0,0,0
"9","Presence Trout","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"10","Presence Trout","",7,0,0,0,0,0,0
"11","Presence Trout","",7,0,0,0,0,0,0
"12","Presence Trout","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"13","Presence Trout","",6,0,0,0,0,0,0
"14","Presence Trout","",6,0,0,0,0,0,0
"15","Presence Trout","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"16","Presence Trout","",7,0.285714285714286,0,0,1,-0.165564230910573,0.736992802339144
"17","Presence Trout","",7,0,0,0,0,0,0
"18","Presence Trout","",7,0,0,0,0,0,0
"19","Presence Trout","",7,0,0,0,0,0,0
"20","Presence Trout","",7,0,0,0,0,0,0
